id;product_name;supplier_id;category_id;unit;price;description;url_image
1;Bakery Maria;1;1;10 boxes x 20 bags;18;Almost 40 percent of cooks are under the age of 24. One-third of cooks work part time, and chef and cook job opportunities are expected to grow.;https://c2.staticflickr.com/2/1561/26401741232_dba74aa433_b.jpg
2;Craw Fish;1;1;24 - 12 oz bottles;19;who are the head chef's second in command. Sous chefs cook, help out the head chef whenever needed and stand in for the head chef during an absence.;https://lavenderstudio.com.vn/wp-content/uploads/2017/01/chup-san-pham.jpg
3;Aniseed Syrup;1;2;12 - 550 ml bottles;10;A head chef or head cook is the kitchen boss. He or she not only has to be able to cook food and lead a team of kitchen workers but also has to figure out how much food will be needed for the week and order food and supplies. ;http://media.bizwebmedia.net/sites/76685/data/Upload/2015/11/10_ky_thuat_chup_anh_do_an__ngon_mat___3.jpg
4;Chef Anton's Cajun Seasoning;2;2;48 - 6 oz jars;22; They chop vegetables, prepare meats for cooking and weigh and measure ingredients. Line cooks are responsible primarily for cooking the food along with the sous chefs;http://media.bizwebmedia.net/sites/76685/data/Upload/2015/11/10_ky_thuat_chup_anh_do_an__ngon_mat___1.jpg
5;Chef Anton's Gumbo Mix;2;2;36 boxes;21.35;That means if you end up at a seafood restaurant, you'd better get used to smelling like old shrimp. You'll also be doing more than just cooking - you'll be cleaning and disinfecting many;http://media.bizwebmedia.net/sites/76685/data/Upload/2015/11/10_ky_thuat_chup_anh_do_an__ngon_mat___4.jpg
6;Grandma's Boysenberry Spread;3;2;12 - 8 oz jars;25;Yes, that means there will be math involved. At some restaurants, head chefs create the restaurant's menu and adjust it depending on the seasonality or availability of food ;http://media.bizwebmedia.net/sites/76685/data/Upload/2015/11/10_ky_thuat_chup_anh_do_an__ngon_mat___3(1).jpg
7;Uncle Bob's Organic Dried Pears;3;7;12 - 1 lb pkgs.;30;As fun as that might sound, being a chef is not all glitz and glamour. Chefs and cooks work in a potentially dangerous environment and spend most of their time covered from head to toe in whatever food they happen to be cooking. ;http://media.bizwebmedia.net/sites/76685/data/Upload/2015/11/10_ky_thuat_chup_anh_do_an__ngon_mat___1(1).jpg
8;Northwoods Cranberry Sauce;3;2;12 - 12 oz jars;40;Almost 40 percent of cooks are under the age of 24. One-third of cooks work part time, and chef and cook job opportunities are expected to grow.;http://media.bizwebmedia.net/sites/76685/data/Upload/2015/11/10_ky_thuat_chup_anh_do_an__ngon_mat___3(2).jpg
9;Mishi Kobe Niku;4;6;18 - 500 g pkgs.;97;A head chef or head cook is the kitchen boss. He or she not only has to be able to cook food and lead a team of kitchen workers but also has to figure out how much food will be needed for the week and order food and supplies. ;http://media.bizwebmedia.net/sites/76685/data/Upload/2015/11/10_ky_thuat_chup_anh_do_an__ngon_mat___4(1).JPG
10;Ikura;4;8;12 - 200 ml jars;31; They chop vegetables, prepare meats for cooking and weigh and measure ingredients. Line cooks are responsible primarily for cooking the food along with the sous chefs;https://cdn.tgdd.vn/Files/2016/11/07/910643/anhbia_800x450.jpg
